"","a","b","c","d","e","id"
"288",10,50,60,50,40,473
"289",10,10,10,10,10,474
"290",50,50,50,30,60,475
"291",10,10,10,10,10,477
"292",0,10,0,0,0,478
"293",10,20,20,30,30,479
"294",50,50,40,40,10,480
"295",30,20,20,40,40,482
"296",0,0,0,0,0,483
"297",50,50,50,50,50,484
"298",50,50,40,40,40,485
"299",50,50,30,50,70,487
"300",50,50,50,50,50,490
"301",50,50,50,50,50,495
"302",30,40,20,30,30,497
"303",20,20,30,20,10,498
"304",10,10,10,10,10,499
"305",40,50,50,40,70,503
"306",0,0,0,0,0,505
"307",10,0,10,0,0,506
"308",50,50,50,50,50,507
"309",50,50,50,50,50,508
"310",50,50,50,50,50,509
"311",20,20,50,10,10,510
"312",30,40,30,30,40,511
"313",0,0,0,0,0,512
"314",0,0,0,0,0,514
"315",50,50,50,50,50,515
"316",30,10,20,10,40,517
"317",60,70,60,80,70,521
"318",10,10,10,10,10,522
"319",10,50,30,40,0,523
"320",10,10,10,0,0,524
"321",50,50,50,50,50,525
"322",100,100,100,70,80,528
"323",40,20,50,30,30,529
"324",0,0,0,0,0,532
"325",50,50,50,50,50,534
"326",0,0,0,0,0,535
"327",20,30,30,50,60,537
"328",30,20,30,40,10,538
"329",40,50,30,40,40,539
"330",0,0,0,0,0,540
"331",40,40,30,10,10,541
"332",20,20,20,20,20,543
"333",10,10,10,10,10,545
"334",60,60,60,60,70,547
"335",50,50,50,50,50,548
"336",30,0,30,30,10,549
"337",50,50,50,50,0,550
"338",0,0,0,0,0,554
"339",30,30,20,20,20,555
"340",50,0,0,10,0,556
"341",0,0,0,0,0,557
"342",0,0,0,0,0,558
"343",20,20,30,10,30,560
"344",10,30,20,30,20,561
"345",30,50,10,20,10,563
"346",10,10,50,30,10,566
"347",30,40,40,30,40,567
"348",50,50,50,50,50,570
"349",50,60,40,50,50,574
"350",60,40,50,40,50,575
"351",10,0,20,10,0,576
"352",30,20,30,30,30,577
"353",10,20,10,10,10,578
"354",50,50,50,50,60,580
"355",0,0,0,0,0,581
"356",20,20,10,10,10,584
"357",10,10,20,10,20,585
"358",50,50,50,50,50,586
"359",80,70,60,70,70,588
"360",10,10,10,0,0,590
"361",40,50,40,50,40,591
"362",0,70,100,80,70,592
"363",50,20,10,20,50,593
"364",10,10,10,10,10,594
"365",40,20,40,10,10,595
"366",20,20,20,20,20,597
"367",10,10,20,10,10,599
"368",20,30,40,30,70,601
"369",10,10,10,10,10,603
"370",40,50,10,60,30,604
"371",30,30,20,30,20,606
"372",0,0,0,0,0,607
"373",50,50,50,50,50,608
"374",50,50,50,50,50,612
"375",30,30,40,30,40,613
"376",30,30,20,20,20,614
"377",0,40,0,10,0,616
"378",30,30,30,40,30,618
"379",0,0,0,0,0,619
"380",50,30,10,20,30,620
"381",0,0,0,0,0,621
"382",30,30,30,30,30,623
"383",0,0,0,0,0,624
"384",50,50,50,50,50,628
