id,Age,AveRT,CondNum,DG1,DG2,DG3,DG4,DG5,DGAverage,DG.stdev,DGAverage.split,Edu,FairOffer,FairRT,FairVsActual,GenderNum,Guess,GuessRole,GuessVsAve,IRI.EC,IRI.FS,IRI.PD,IRI.PT,IRI.Tot,KnowNum,MemCond,MemExclude,NPNum,Numeracy,Session,Subject,condition,gender,knowledge,numPic
158,22,11607,1,30,20,20,30,20,24,0.55,2,3,40,20242,1.6,1,22,4,-2,26,30,23,20,99,1,2,0,1,0.73,3,14,2,1,2,2
159,21,15811.6,3,10,0,0,0,0,2,0.45,1,3,0,21466,-0.2,2,20,5,18,12,4,8,21,45,2,1,0,1,1,1,128,1,2,1,2
160,22,7960.6,3,40,40,40,40,40,40,0,2,3,40,28459,0,2,40,7,0,10,23,12,7,52,2,1,0,1,0.91,1,130,1,2,1,2
161,24,7406.4,3,0,0,0,0,0,0,0,1,3,0,38875,0,2,0,4,0,9,14,19,11,53,2,1,0,1,1,13,188,1,2,1,2
162,20,12138.4,3,50,50,50,50,50,50,0,2,1,50,66805,0,2,50,7,0,14,15,14,14,57,2,1,0,1,0.91,5,149,1,2,1,2
163,22,10946.4,3,0,0,0,0,0,0,0,1,3,0,34570,0,2,0,4,0,17,13,9,21,60,2,2,0,1,1,6,153,1,2,1,2
164,39,2282.6,3,40,50,50,40,50,46,0.55,2,6,40,15263,-0.6,2,50,4,4,16,12,12,20,60,2,2,0,1,1,12,184,1,2,1,2
165,29,8272.2,3,10,10,10,10,10,10,0,1,7,10,9240,0,2,10,3,0,15,18,14,14,61,2,1,0,1,1,3,142,1,2,1,2
166,30,12912.6,3,100,0,70,70,70,62,3.7,2,1,100,20927,3.8,1,70,5,8,17,14,9,21,61,2,2,0,1,0.55,5,145,1,1,1,2
167,20,8331.4,3,0,0,0,0,0,0,0,1,3,0,23108,0,1,0,1,0,12,21,15,14,62,2,1,0,1,0.91,12,181,1,1,1,2
168,20,10792.6,3,10,10,10,10,10,10,0,1,3,20,34162,1,2,10,7,0,15,12,17,18,62,2,2,0,1,1,5,150,1,2,1,2
169,21,14538.4,3,40,50,30,40,40,40,0.71,2,1,50,27285,1,2,40,6,0,19,16,15,14,64,2,1,0,1,0.91,3,138,1,2,1,2
170,21,14761.8,3,0,0,0,0,0,0,0,1,3,0,36062,0,2,0,1,0,13,14,14,24,65,2,2,0,1,1,2,135,1,2,1,2
171,,5741.4,3,10,10,10,10,10,10,0,1,5,10,43150,0,1,10,1,0,19,7,18,21,65,2,1,0,1,1,3,141,1,1,1,2
172,19,15550.6,3,0,0,0,0,0,0,0,1,3,0,23109,0,2,0,5,0,18,15,14,20,67,2,1,0,1,1,1,131,1,2,1,2
173,24,11094,3,20,20,20,20,20,20,0,1,5,20,22942,0,2,20,5,0,24,13,10,22,69,2,1,0,1,1,5,147,1,2,1,2
174,25,10605,3,20,20,30,10,30,22,0.84,1,6,0,31165,-2.2,1,20,4,-2,17,15,16,21,69,2,1,0,1,1,9,170,1,1,1,2
175,20,27197.4,3,20,10,0,0,0,6,0.89,1,3,20,36700,1.4,1,10,1,4,15,25,15,16,71,2,1,0,1,0.91,8,161,1,1,1,2
176,22,8502.8,3,20,30,30,30,30,28,0.45,2,3,30,20773,0.2,1,28,2,0,19,21,10,21,71,2,1,0,1,0.91,5,152,1,1,1,2
177,22,5134.8,3,20,30,10,50,10,24,1.67,2,3,20,4002,-0.4,1,25,3,1,19,18,15,21,73,2,1,0,1,1,13,190,1,1,1,2
